,col_room_number,col_region,col_area,col_price,col_price_sq_m,col_floor,col_layout,flat_type,city_area,premises_area,floor,floor_tot,layout,status,price
1788,2-комн.,"Октябрьский р-н, Академика Киренского, 32к",83.10 м 2,8 200 000 руб.,98 676 руб./м2,3 эт. из 16,"Октябрьский р-н, Академика Киренского, 32к
Планировка: новая
Готовое",2_room_ap,Oktyabrskiy,83.1,3,16,new,finished,95348.83720930232
1789,Гостин.,"Советский р-н, Новгородская, 3",17.20 м 2,1 750 000 руб.,101 744 руб./м2,4 эт. из 5,"Советский р-н, Новгородская, 3
Планировка: гостинка
Готовое",small_family_ap,Sovietskiy,17.2,4,5,small_family_ap,finished,20348.837209302324
1790,1-комн.,"Центральный р-н, Любы Шевцовой, 74",40.50 м 2,5 000 000 руб.,123 457 руб./м2,1 эт. из 10,"Центральный р-н, Любы Шевцовой, 74
Планировка: новая
Готовое",1_room_ap,Central,40.5,1,10,new,finished,58139.53488372093
1792,1-комн.,"Центральный р-н, Дмитрия Мартынова, 27",44.10 м 2,5 200 000 руб.,117 914 руб./м2,12 эт. из 17,"Центральный р-н, Дмитрия Мартынова, 27
Планировка: индивидуальная
Готовое",1_room_ap,Central,44.1,12,17,individual,finished,60465.11627906977
1793,1-комн.,"Центральный р-н, Дмитрия Мартынова, 37",40.30 м 2,5 000 000 руб.,124 069 руб./м2,10 эт. из 14,"Центральный р-н, Дмитрия Мартынова, 37
Планировка: новая
Готовое",1_room_ap,Central,40.3,10,14,new,finished,58139.53488372093
1794,2-комн.,"Центральный р-н, Петра Подзолкова, 3и",56.10 м 2,6 500 000 руб.,115 865 руб./м2,8 эт. из 24,"Центральный р-н, Петра Подзолкова, 3и
Планировка: новая
Готовое",2_room_ap,Central,56.1,8,24,new,finished,75581.3953488372
1795,2-комн.,"Железнодорожный р-н, Куйбышева, 79",57.70 м 2,6 000 000 руб.,103 986 руб./м2,11 эт. из 18,"Железнодорожный р-н, Куйбышева, 79
Планировка: индивидуальная
Готовое",2_room_ap,Zheleznodorozhniy,57.7,11,18,individual,finished,69767.44186046511
1796,2-комн.,"Ленинский р-н, Мичурина, 5а",45.30 м 2,3 300 000 руб.,72 848 руб./м2,1 эт. из 5,"Ленинский р-н, Мичурина, 5а
Планировка: хрущевка
Готовое",2_room_ap,Leninsky,45.3,1,5,khrushchevka,finished,38372.09302325582
1797,1-комн.,"Советский р-н, Алексеева, 115",45.50 м 2,4 750 000 руб.,104 396 руб./м2,14 эт. из 14,"Советский р-н, Алексеева, 115
Планировка: новая
Готовое",1_room_ap,Sovietskiy,45.5,14,14,new,finished,55232.558139534885
1798,2-комн.,"Советский р-н, Мате Залки, 9",61.60 м 2,6 200 000 руб.,100 649 руб./м2,2 эт. из 16,"Советский р-н, Мате Залки, 9
Планировка: индивидуальная
Готовое",2_room_ap,Sovietskiy,61.6,2,16,individual,finished,72093.02325581395
1800,1-комн.,"Центральный р-н, Декабристов, 12",32.00 м 2,4 000 000 руб.,125 000 руб./м2,2 эт. из 5,"Центральный р-н, Декабристов, 12
Планировка: хрущевка
Готовое",1_room_ap,Central,32.0,2,5,khrushchevka,finished,46511.62790697674
1801,2-комн.,"Советский р-н, Весны, 3",54.00 м 2,5 700 000 руб.,105 556 руб./м2,6 эт. из 10,"Советский р-н, Весны, 3
Планировка: новая
Готовое",2_room_ap,Sovietskiy,54.0,6,10,new,finished,66279.06976744186
